"ID Rotulo","Referencia","Color","Tipo","Capas","Pedido","GramosGranel","JuegosGranel","FechaProducción","fechaIngreso"
"45543","3P-S","A3 ZEN","Diente","2C","11239","487","308.2","12/20/2024","12/26/2024 8:08"
"45505","3N-S","A2 ZEN","Diente","2C","11248","199","147.4","12/20/2024","12/26/2024 8:08"
"45546","136-S","B3","Diente","2C","RESISTAL","173","92.5","12/20/2024","12/26/2024 7:29"
"45426","3P-S","A2 ZEN","Diente","2C","11239","63","39.9","12/18/2024","12/26/2024 7:03"
"45538","A25-S","A3 ZEN","Diente","2C","11224","154","125.2","12/20/2024","12/26/2024 6:49"
"45429","A26Z-S","A2 ZEN","Diente","2C","11248","324","228.2","12/18/2024","12/26/2024 6:49"
"45547","2P-S","B3","Diente","2C","RESISTAL","62","36","12/20/2024","12/27/2024 13:22"
"45500","224Z-S","A2 ZEN","Diente","2C","11248","89","74.8","12/20/2024","12/23/2024 18:26"
"45479","A25-S","B3","Diente","2C","11239","212","172.4","12/19/2024","12/23/2024 13:17"
"45544","34L-S","B2","Muela","2C","RESISTAL","868","293.2","12/20/2024","12/23/2024 12:42"
"45515","1N-S","A4","Diente","2C","RESISTAL","80","54.4","12/20/2024","12/23/2024 18:26"
"45535","32L-I","A2 ZEN","Muela","2C","RESISTAL","436","162.1","12/20/2024","12/23/2024 12:12"
"45510","21J-S","B3","Diente","2C","11248","188","70.1","12/20/2024","12/23/2024 12:12"
"45550","P6-S","A3 PLUS","Muela","4C","11238","20","5","12/20/2024","12/26/2024 11:40"
"45506","45H-S","A2 ZEN","Diente","2C","11248","64","28.8","12/20/2024","12/23/2024 11:31"
"45513","3D-S","A4","Diente","2C","RESISTAL","112","91.1","12/20/2024","12/23/2024 16:31"
"45502","MV-S","A2 ZEN","Muela","2C","11248","133","67.2","12/20/2024","12/23/2024 11:30"
"45486","3D-S","A3 ZEN","Diente","2C","11248","177","143.9","12/19/2024","12/23/2024 11:29"
"45518","P3-I","A2 PLUS","Muela","4C","11240","142","57.5","12/20/2024","12/23/2024 11:29"
"45522","34M-S","A3,5","Muela","2C","11224","374","164","12/20/2024","12/23/2024 11:28"
"45493","S27-S","A4 PLUS","Diente","4C","11240","122","50.4","12/19/2024","12/23/2024 11:08"
"45482","4H-I","B3","Diente","2C","11239","118","100","12/19/2024","12/23/2024 11:08"
"45470","A25Z-S","A2 ZEN","Diente","2C","11248","183","148.8","12/19/2024","12/23/2024 11:07"
"45431","MV-I","A2 ZEN","Muela","2C","11248","13","6.8","12/18/2024","12/23/2024 11:07"
"45475","3B-I","A2 ZEN","Diente","2C","11248","27","42.2","12/19/2024","12/23/2024 11:06"
"45487","4H-S","A3 ZEN","Diente","2C","11248","13","7","12/19/2024","12/23/2024 11:06"
"45364","267-S","A2 ZEN","Diente","2C","11239","20","8.6","12/17/2024","12/23/2024 9:46"
"45480","267-S","A2 ZEN","Diente","2C","11239","21","9.1","12/19/2024","12/27/2024 14:09"
"45489","136-S","A3 ZEN","Diente","2C","11248","13","7","12/19/2024","12/23/2024 8:39"
"45492","S26-S","A4 PLUS","Diente","4C","11240","116","59.2","12/19/2024","12/23/2024 8:27"
"45394","267-S","A2 ZEN","Diente","2C","11239","280","120.7","12/17/2024","12/21/2024 9:05"
"45390","3D-S","A3 ZEN","Diente","2C","11224","202","164.2","12/17/2024","12/21/2024 9:05"
"45457","30L-S","B3","Muela","2C","11239","562","259","12/18/2024","12/21/2024 8:57"
"45441","3D-S","A3 ZEN","Diente","2C","11248","205","166.7","12/18/2024","12/21/2024 8:47"
"45494","S6-I","A4 PLUS","Diente","4C","11240","83","59.3","12/19/2024","12/21/2024 8:46"
"45468","32L-S","A2 ZEN","Muela","2C","RESISTAL","243","99.2","12/19/2024","12/21/2024 17:12"
"45357","A25-S","A3 ZEN","Diente","2C","11224","101","82.1","12/17/2024","12/21/2024 7:56"
"45409","S12-S","A2 PLUS","Diente","4C","11240","167","111.3","12/17/2024","12/23/2024 11:34"
"45464","P4-S","A2 PLUS","Muela","4C","11240","212","58.2","12/18/2024","12/21/2024 6:10"
"45454","XV-I","A3 ZEN","Muela","2C","11248","51","24.2","12/18/2024","12/21/2024 6:10"
"45451","A25-I","A2 ZEN","Diente","2C","11224","51","46.4","12/18/2024","12/21/2024 13:00"
"45438","34M-S","A3,5","Muela","2C","11224","13","5.7","12/18/2024","12/21/2024 6:07"
"45415","XV-I","A3 ZEN","Muela","2C","11248","148","70.1","12/17/2024","12/20/2024 13:21"
"45459","1N-I","B2","Diente","2C","11239","118","112.4","12/18/2024","12/20/2024 13:21"
"45462","S5-I","A2 PLUS","Diente","4C","11240","111","86.7","12/18/2024","12/20/2024 13:20"
"45463","P6-S","A2 PLUS","Muela","4C","11240","142","35.2","12/18/2024","12/20/2024 13:20"
"45452","D-I","A3 ZEN","Diente","2C","11248","60","65.2","12/18/2024","12/20/2024 13:20"
"45392","34M-S","A3 ZEN","Muela","2C","11224","336","147.4","12/17/2024","12/20/2024 13:07"
"45460","3P-I","B2","Diente","2C","11239","141","123.7","12/18/2024","12/20/2024 13:07"
"45350","A26Z-S","A3,5","Diente","2C","11248","119","83.8","12/17/2024","12/20/2024 13:06"
"45461","S3-I","A2 PLUS","Diente","4C","11240","80","61.5","12/18/2024","12/20/2024 13:06"
"45456","4H-I","A3 ZEN","Diente","2C","11248","107","90.7","12/18/2024","12/20/2024 13:06"
"45528","34L-S","A3M","Muela","2C","NAL 2C","71","24","12/19/2024","12/20/2024 18:49"
"45329","3P-S","A3,5","Diente","2C","11224","696","440.5","12/16/2024","12/20/2024 11:44"
"45427","2D-S","A2 ZEN","Diente","2C","11248","59","49.6","12/18/2024","12/20/2024 18:25"
"45411","S26-S","A2 PLUS","Diente","4C","11240","20","10.2","12/17/2024","12/20/2024 11:34"
"45420","A24-S","B3","Diente","2C","11239","168","127.3","12/17/2024","12/20/2024 10:36"
"45389","V8-I","A3,5","Muela","2C","11248","98","33.1","12/17/2024","12/20/2024 10:35"
"45391","A26-S","A3 ZEN","Diente","2C","11224","59","41.5","12/17/2024","12/20/2024 18:10"
"45355","MV-I","A3,5","Muela","2C","11248","100","52.4","12/17/2024","12/20/2024 9:41"
"45349","A25Z-S","A3,5","Diente","2C","11248","26","21.1","12/17/2024","12/20/2024 9:16"
"45385","D-I","A3 ZEN","Diente","2C","11248","11","12","12/17/2024","12/20/2024 16:23"
"45419","224Z-S","A3 ZEN","Diente","2C","11248","29","24.4","12/17/2024","12/20/2024 16:54"
"45421","136-S","B3","Diente","2C","11239","54","28.9","12/17/2024","12/20/2024 15:46"
"45334","A25-S","A3 ZEN","Diente","2C","11224","828","673.2","12/16/2024","12/20/2024 8:39"
"45388","V8-S","A3,5","Muela","2C","11248","227","75.4","12/17/2024","12/20/2024 8:35"
"45422","3N-S","B3","Diente","2C","11239","268","198.5","12/17/2024","12/20/2024 8:35"
"45410","S17-S","A2 PLUS","Diente","4C","11240","156","56.5","12/17/2024","12/20/2024 16:09"
"45337","32L-S","B1","Muela","2C","NAL 2C","52","21.2","12/16/2024","12/20/2024 8:07"
"45412","P3-S","A2 PLUS","Muela","4C","11240","166","64.1","12/17/2024","12/20/2024 7:29"
"45395","30L-S","A2 ZEN","Muela","2C","11239","134","61.8","12/17/2024","12/20/2024 14:02"
"45377","3P-S","A3 ZEN","Diente","2C","11224","324","205.1","12/17/2024","12/20/2024 7:28"
"45366","32L-S","A2 ZEN","Muela","2C","11239","115","46.9","12/17/2024","12/20/2024 7:23"
"45360","A26-S","A2 ZEN","Diente","2C","11224","43","30.3","12/17/2024","12/20/2024 7:17"
"45384","3B-I","A3 ZEN","Diente","2C","11248","29","45.3","12/17/2024","12/19/2024 13:29"
"45365","30L-S","A2 ZEN","Muela","2C","11239","355","163.6","12/17/2024","12/19/2024 13:29"
"45352","C-I","A3,5","Diente","2C","11248","80","87","12/17/2024","12/19/2024 13:29"
"45358","A25-I","A3 ZEN","Diente","2C","11224","170","154.5","12/17/2024","12/19/2024 13:28"
"45396","3R-I","A2 ZEN","Diente","2C","11248","42","25.3","12/17/2024","12/20/2024 11:20"
"45354","XV-I","A3,5","Muela","2C","11248","54","25.6","12/17/2024","12/20/2024 12:23"
"45356","3D-S","A3 ZEN","Diente","2C","11224","383","311.4","12/17/2024","12/19/2024 13:23"
"45353","XV-S","A3,5","Muela","2C","11248","20","10","12/17/2024","12/20/2024 14:14"
"45387","21J-S","A3,5","Diente","2C","11248","161","60.1","12/17/2024","12/20/2024 12:19"
"45371","P5-S","A3,5 PLUS","Muela","4C","11240","146","57.3","12/17/2024","12/19/2024 13:21"
"45363","2P-S","A2 ZEN","Diente","2C","11239","160","93","12/17/2024","12/19/2024 13:21"
"45370","S5-I","A3,5 PLUS","Diente","4C","11240","51","39.8","12/17/2024","12/20/2024 13:41"
"45351","D-I","A3,5","Diente","2C","11248","27","29.3","12/17/2024","12/20/2024 13:37"
"45369","P3-S","A3,5 PLUS","Muela","4C","11238","181","69.9","12/17/2024","12/19/2024 12:49"
"45359","A26-I","A3 ZEN","Diente","2C","11224","76","69.1","12/17/2024","12/19/2024 12:49"
"45367","P6-I","D3 PLUS","Muela","4C","11238","121","30.8","12/17/2024","12/19/2024 12:48"
"45335","2P-S","A3 ZEN","Diente","2C","11239","127","73.8","12/16/2024","12/19/2024 18:28"
"43366","1H-S","A3 ZEN","Diente","2C","112-0313","716","378.8","11/1/2024","12/19/2024 11:58"
"45331","A26-S","A3,5","Diente","2C","11224","66","46.5","12/16/2024","12/19/2024 8:28"
"45330","34M-S","A3,5","Muela","2C","11224","347","152.2","12/16/2024","12/19/2024 8:28"
"4342","30M-I","67","Muela","2C","KELASI","319","160.3","9/3/2022","12/19/2024 8:27"
"45295","A25-S","A3,5","Diente","2C","11224","242","196.7","12/15/2024","12/19/2024 8:00"
"45292","3P-S","A2 ZEN","Diente","2C","RESISTAL","365","231","12/15/2024","12/19/2024 7:59"
"45318","2P-S","A3 ZEN","Diente","2C","11239","54","31.4","12/16/2024","12/19/2024 7:41"
"45344","32L-S","A2 ZEN","Muela","2C","11239","535","218.4","12/16/2024","12/19/2024 7:35"
"45315","2N-I","B3","Diente","2C","11239","33","35.9","12/16/2024","12/19/2024 15:20"
"45338","30L-I","A1","Muela","2C","NAL 2C","135","59.2","12/16/2024","12/19/2024 13:58"
"45303","S5-I","A2 PLUS","Diente","4C","11238","70","54.7","12/15/2024","12/19/2024 7:18"
"45340","30L-S","A1","Muela","2C","RESISTAL","36","16.6","12/16/2024","12/20/2024 11:59"
"45343","A24-S","A2 ZEN","Diente","2C","11239","149","112.9","12/16/2024","12/19/2024 7:13"
"45347","P4-S","A3 PLUS","Muela","4C","11240","171","47","12/16/2024","12/19/2024 16:44"
"45339","267-S","A1","Diente","2C","11239","96","41.4","12/16/2024","12/19/2024 7:12"
"45332","1N-S","A2M","Diente","2C","NAL 2C","66","44.9","12/16/2024","12/19/2024 7:04"
"45301","3N-I","B3","Diente","2C","11239","31","37.8","12/15/2024","12/19/2024 6:59"
"45314","4H-I","B3","Diente","2C","11239","181","153.4","12/16/2024","12/19/2024 6:38"
"45346","P5-I","A3 PLUS","Muela","4C","11238","93","35.8","12/16/2024","12/19/2024 15:37"
"45327","PBS-S","A0","Muela","2C","NAL 2C","91","60.7","12/16/2024","12/19/2024 13:31"
"45372","34L-S","A3M","Muela","2C","NAL 2C","132","44.6","12/17/2024","12/19/2024 12:42"
"45328","3M-S","A0","Diente","2C","NAL 2C","91","102.2","12/16/2024","12/19/2024 6:29"
"45373","34L-S","A3 ZEN","Muela","2C","11224","167","56.4","12/17/2024","12/19/2024 6:28"
"45317","A25-S","A3 ZEN","Diente","2C","11224","293","238.2","12/16/2024","12/19/2024 6:28"
"45276","A25-S","A3,5","Diente","2C","11224","298","242.3","12/14/2024","12/18/2024 14:28"
"45323","A26-I","B3","Diente","2C","11239","154","140","12/16/2024","12/18/2024 14:27"
"45341","2N-I","A1","Diente","2C","RESISTAL","238","258.7","12/16/2024","12/19/2024 14:15"
"45336","1N-I","A3 ZEN","Diente","2C","11239","47","44.8","12/16/2024","12/19/2024 14:41"
"45466","32L-I","A2","Muela","2C","NAL 2C","170","63.2","12/17/2024","12/18/2024 14:26"
"45308","A26-S","A4","Diente","2C","11224","392","276.1","12/16/2024","12/18/2024 12:38"
"5316","A26-I","A2 ZEN","Diente","2C","IFHSA","311","282.7","9/21/2022","12/18/2024 12:38"
"45288","267-S","A2 ZEN","Diente","2C","RESISTAL","80","34.5","12/14/2024","12/18/2024 12:31"
"4534","2P-S","A1","Diente","2C","HENRY","102","59.3","9/7/2022","12/18/2024 12:31"
"45310","A25-S","A3,5","Diente","2C","11224","62","50.4","12/16/2024","12/18/2024 12:16"
"45294","3D-S","A3,5","Diente","2C","11224","335","272.4","12/15/2024","12/18/2024 11:12"
"45322","3N-I","B3","Diente","2C","11239","37","45.1","12/16/2024","12/20/2024 15:07"
"45305","P4-I","A2 PLUS","Muela","4C","11238","79","21.8","12/15/2024","12/18/2024 17:47"
"45320","30L-I","A3 ZEN","Muela","2C","11239","183","80.3","12/16/2024","12/18/2024 9:12"
"4536","PBS-S","A1","Muela","2C","HENRY","165","110","9/7/2022","12/18/2024 9:11"
"45313","3D-I","B3","Diente","2C","11239","100","117.6","12/16/2024","12/18/2024 9:11"
"45219","268-S","A4","Diente","2C","11224","97","36.7","12/12/2024","12/18/2024 8:14"
"45296","34M-S","A3,5","Muela","2C","11224","699","306.6","12/15/2024","12/18/2024 7:00"
"45309","3P-S","A3,5","Diente","2C","11224","303","191.8","12/16/2024","12/18/2024 7:00"
"45326","32L-S","A2M","Muela","2C","ATC15094","859","350.6","12/16/2024","12/18/2024 6:58"
"45293","268-I","C2","Diente","2C","11237","139","83.7","12/15/2024","12/18/2024 6:33"
"45271","3P-S","A2 ZEN","Diente","2C","RESISTAL","38","24.1","12/14/2024","12/18/2024 16:08"
"45321","32L-I","A3 ZEN","Muela","2C","RESISTAL","657","244.2","12/16/2024","12/17/2024 14:54"
"45265","30M-S","A3 ZEN","Muela","2C","11224","52","28.1","12/13/2024","12/18/2024 14:48"
"45298","A26-I","A3 ZEN","Diente","2C","11224","163","148.2","12/15/2024","12/18/2024 12:31"
"45324","P4-S","A2 PLUS","Muela","4C","11238","315","86.5","12/16/2024","12/17/2024 14:53"
"45274","3N-S","A2 ZEN","Diente","2C","RESISTAL","35","25.9","12/14/2024","12/18/2024 14:13"
"45307","32L-I","A2 ZEN","Muela","2C","RESISTAL","57","21.2","12/14/2024","12/18/2024 12:06"
"45304","P5-S","A2 PLUS","Muela","4C","11238","234","91.8","12/15/2024","12/17/2024 12:56"
"45254","268-S","A4","Diente","2C","11224","199","75.4","12/13/2024","12/17/2024 12:56"
"45255","32M-S","A4","Muela","2C","11224","91","46.4","12/13/2024","12/17/2024 11:56"
"45239","34M-S","A3 ZEN","Muela","2C","11224","672","294.7","12/12/2024","12/17/2024 11:48"
"45269","BABY-D","A2","Diente","2C","NAL 2C","33","70.2","12/14/2024","12/18/2024 14:16"
"45273","2P-S","A2 ZEN","Diente","2C","RESISTAL","47","27.3","12/14/2024","12/18/2024 12:45"
"45299","34L-S","A3 ZEN","Muela","2C","11224","772","260.8","12/15/2024","12/17/2024 10:36"
"45268","32M-I","A3 ZEN","Muela","2C","11224","107","46.1","12/13/2024","12/17/2024 10:13"
"45282","P5-S","A2 PLUS","Muela","4C","NAL 4C","20","7.8","12/14/2024","12/17/2024 8:33"
"45275","3D-S","A3,5","Diente","2C","11224","115","93.5","12/14/2024","12/17/2024 18:37"
"45246","2D-S","A2","Diente","2C","NAL 2C","98","82.4","12/13/2024","12/17/2024 8:20"
"45264","32L-S","A3 ZEN","Muela","2C","11224","26","10.6","12/13/2024","12/18/2024 14:04"
"45253","A25-I","A3","Diente","2C","NAL 2C","68","61.8","12/13/2024","12/17/2024 7:58"
"45259","30L-S","A2 ZEN","Muela","2C","11242","188","86.6","12/13/2024","12/17/2024 16:01"
"45249","A24-S","A2","Diente","2C","NAL 2C","235","178","12/13/2024","12/17/2024 17:51"
"45272","34L-S","A2 ZEN","Muela","2C","RESISTAL","951","321.3","12/14/2024","12/17/2024 7:31"
"45256","32M-I","A4","Muela","2C","11224","194","83.6","12/13/2024","12/17/2024 7:30"
"45250","A25-I","A2","Diente","2C","NAL 2C","50","45.5","12/13/2024","12/17/2024 16:45"
"45251","A26-S","A3,5","Diente","2C","11224","51","35.9","12/13/2024","12/17/2024 17:22"
"45247","3M-S","A2","Diente","2C","NAL 2C","86","96.6","12/13/2024","12/17/2024 7:04"
"45261","32L-I","A2 ZEN","Muela","2C","11242","302","112.3","12/13/2024","12/17/2024 7:04"
"45257","34M-I","A4","Muela","2C","11224","270","106.7","12/13/2024","12/16/2024 14:19"
"45248","223-S","A2","Diente","2C","NAL 2C","57","58.8","12/13/2024","12/16/2024 14:18"
"45277","A25-I","A3 ZEN","Diente","2C","11224","19","17.3","12/14/2024","12/17/2024 16:58"
"45281","3P-I","B2","Diente","2C","RESISTAL","131","114.9","12/14/2024","12/16/2024 14:03"
"45119","A25-S","A3 ZEN","Diente","2C","11224","72","58.5","12/11/2024","12/16/2024 14:03"
"42282","A26-I","A2 ZEN","Diente","2C","11192","214","194.5","9/30/2024","12/16/2024 14:02"
"45283","P6-I","A2 PLUS","Muela","4C","NAL 4C","175","44.5","12/14/2024","12/16/2024 13:23"
"45280","32L-S","B2","Muela","2C","RESISTAL","522","213.1","12/14/2024","12/16/2024 13:22"
"45278","267-S","A3 ZEN","Diente","2C","11239","61","26.3","12/14/2024","12/17/2024 12:41"
"45262","A25-S","A2 ZEN","Diente","2C","11242","121","98.4","12/13/2024","12/16/2024 13:21"
"45227","4H-S","A2 ZEN","Diente","2C","11242","20","10.8","12/12/2024","12/16/2024 13:05"
"45287","34L-S","A2 ZEN","Muela","2C","RESISTAL","423","142.9","12/14/2024","12/16/2024 12:54"
"45279","34M-S","A3,5","Muela","2C","11224","174","76.3","12/14/2024","12/18/2024 17:52"
"45266","A26-I","A3 ZEN","Diente","2C","11224","133","120.9","12/13/2024","12/16/2024 12:53"
"44287","3P-I","A4","Diente","2C","11217","76","66.7","11/20/2024","12/16/2024 12:16"
"45228","3M-I","A2 ZEN","Diente","2C","11242","151","196.1","12/12/2024","12/17/2024 12:56"
"45215","3P-I","A3 ZEN","Diente","2C","11224","172","150.9","12/12/2024","12/16/2024 11:57"
"45220","3D-S","A4","Diente","2C","11224","63","51.2","12/12/2024","12/16/2024 19:57"
"45226","3M-S","A1","Diente","2C","NAL 2C","29","32.6","12/12/2024","12/16/2024 11:56"
"45205","136-S","A3 ZEN","Diente","2C","11224","48","25.7","12/12/2024","12/16/2024 11:26"
"45214","A26-S","A3 ZEN","Diente","2C","11224","424","298.6","12/12/2024","12/16/2024 10:37"
"45238","A25-I","A3 ZEN","Diente","2C","11224","168","152.7","12/12/2024","12/16/2024 10:36"
"45213","2N-I","A0","Diente","2C","NAL 2C","57","62","12/12/2024","12/16/2024 10:35"
"45224","136-S","A1","Diente","2C","NAL 2C","141","75.4","12/12/2024","12/16/2024 10:35"
"45216","3D-I","A3 ZEN","Diente","2C","RESISTAL","40","47.1","12/12/2024","12/16/2024 9:28"
"45229","32M-I","A2 ZEN","Muela","2C","11242","116","50","12/12/2024","12/17/2024 12:33"
"45217","3M-S","A4","Diente","2C","NAL 2C","20","22.5","12/12/2024","12/16/2024 17:20"
"45236","1H-S","A3M","Diente","2C","NAL 2C","75","39.7","12/12/2024","12/16/2024 9:03"
"45225","30L-S","A1","Muela","2C","NAL 2C","50","23","12/12/2024","12/17/2024 15:35"
"45231","1N-S","B1","Diente","2C","NAL 2C","38","25.9","12/12/2024","12/16/2024 8:05"
"45237","3P-S","A3 ZEN","Diente","2C","11224","110","69.6","12/12/2024","12/16/2024 15:37"
"5237","30M-S","69","Muela","2C","KELASI","13","7","9/20/2022","12/16/2024 7:56"
"45230","30L-I","A2 ZEN","Muela","2C","11242","132","57.9","12/12/2024","12/16/2024 16:59"
"45242","32M-I","A3 ZEN","Muela","2C","11224","128","55.2","12/13/2024","12/16/2024 15:41"
"45221","32L-S","A4","Muela","2C","11224","75","30.6","12/12/2024","12/16/2024 14:19"
